UserID,destinationID,AppID,ContentID,When,Where,Action
Reg,HRSer,SSH,Content,NS,Remote,deny
Reg,HRSer,SSH,Content,WH,HQ,deny
Reg,HRSer,SSH,Content,WH,Remote,deny
Reg,MedSer,HTTPS,Content,NS,HQ,deny
Reg,MedSer,HTTPS,Content,NS,Remote,deny
Reg,MedSer,HTTPS,Content,WH,HQ,deny
Reg,MedSer,HTTPS,Content,WH,Remote,deny
Reg,MedSer,SSH,Content,NS,HQ,deny
Reg,MedSer,SSH,Content,NS,Remote,deny
Reg,MedSer,SSH,Content,WH,HQ,deny
Reg,MedSer,SSH,Content,WH,Remote,deny
Reg,RegSer,HTTPS,Content,NS,HQ,deny
Reg,RegSer,HTTPS,Content,NS,Remote,deny
Reg,RegSer,HTTPS,Content,WH,HQ,allow
Reg,RegSer,HTTPS,Content,WH,Remote,allow
Reg,RegSer,SSH,Content,NS,HQ,deny
Reg,RegSer,SSH,Content,NS,Remote,deny
Reg,RegSer,SSH,Content,WH,HQ,allow
Reg,RegSer,SSH,Content,WH,Remote,allow
Tech,FinSer,SSH,Content,NS,HQ,allow
Tech,FinSer,SSH,Content,NS,Remote,allow
Tech,FinSer,SSH,Content,WH,HQ,allow
Tech,FinSer,SSH,Content,WH,Remote,allow
Tech,HRSer,SSH,Content,NS,HQ,allow
Tech,HRSer,SSH,Content,NS,Remote,allow
Tech,HRSer,SSH,Content,WH,HQ,allow
Tech,HRSer,SSH,Content,WH,Remote,allow
Tech,MedSer,SSH,Content,NS,HQ,allow
Tech,MedSer,SSH,Content,NS,Remote,allow
Tech,MedSer,SSH,Content,WH,HQ,allow
Tech,MedSer,SSH,Content,WH,Remote,allow
Tech,RegSer,SSH,Content,NS,HQ,allow
Tech,RegSer,SSH,Content,NS,Remote,allow
Tech,RegSer,SSH,Content,WH,HQ,allow
Tech,RegSer,SSH,Content,WH,Remote,allow
